ID,Estado,Municipio,Localidade,Longitude,Latitude,Data_de_coleta,Nome_do_coletor,Referencia
15160,Rio de Janeiro,Angra dos Reis,Antigo Presídio da Ilha Grande - Celas abandonadas,-44.31770,-23.00650,1980,"Manuzzi, J.L.",SpeciesLink
15161,Rio de Janeiro,Angra dos Reis,Antigo Presídio da Ilha Grande - Celas abandonadas,-44.31770,-23.00650,1980,"Manuzzi, J.L.",SpeciesLink
15162,Rio de Janeiro,Angra dos Reis,Antigo Presídio da Ilha Grande - Celas abandonadas,-44.31770,-23.00650,1980,"Manuzzi, J.L.",SpeciesLink
15163,Rio de Janeiro,Angra dos Reis,Antigo Presídio da Ilha Grande - Celas abandonadas,-44.31770,-23.00650,1980,"Manuzzi, J.L.",SpeciesLink
17594,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1976,"Uieda, W. & Storti Filho, A.",SpeciesLink
3282,Espírito Santo,Santa Leopoldina,Pedra Suiça,-40.61742,-20.10153,2009,L.F.Oliveira,SpeciesLink
3037,Espírito Santo,Santa Teresa,Santa Lúcia,-40.54231,-19.96392,2007,Luciany Ferreira,SpeciesLink
3291,Espírito Santo,Rio Bananal,Santo Izidório,-40.37903,-19.26728,2009,R.S.Cipriano,SpeciesLink
2117.0,Espírito Santo,Sooretama,"BR - 101, Km 105, Reserva Biológica de Sooretama",-40.01917,-19.03039,2011,Yuri Luiz Reis Leite,SpeciesLink
2047.0,Espírito Santo,Sooretama,"BR - 101, Km 105, Reserva Biológica de Sooretama",-40.01916,-19.03027,2011,Yuri Luiz Reis Leite,SpeciesLink
2046.0,Espírito Santo,Sooretama,"BR - 101, Km 105, Reserva Biológica de Sooretama",-40.01916,-19.03027,2011,Yuri Luiz Reis Leite,SpeciesLink
2118.0,Espírito Santo,Sooretama,"BR - 101, Km 105, Reserva Biológica de Sooretama",-40.01917,-19.03039,2011,Yuri Luiz Reis Leite,SpeciesLink
160,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1974,Otávio Cardozo de Oliveira; Ivan Sazima,SpeciesLink
1183,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 111",-43.74472,-19.51361,1987,Ivan Sazima,SpeciesLink
586,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 112",-43.74472,-19.51361,1976,Wilson Uieda; Atílio Storti Filho,SpeciesLink
161,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 113",-43.74472,-19.51361,1974,Otávio Cardozo de Oliveira; Ivan Sazima,SpeciesLink
0000012,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 114",-43.74472,-19.51361,1974,Ivan Sazima,SpeciesLink
