"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"Record ID","id","recordID","id","Record ID","id","Record ID","Atlas unique ID for this record http://rs.tdwg.org/dwc/terms/recordID"
"Data Resource ID","data_resource_uid","","data_resource_uid","Dataset","data_resource_uid","Data Resource ID","The Atlas ID for the data resource"
"Data Resource Name","data_resource","","data_resource","Dataset","data_resource","Data Resource Name","The data resource that supplies the record. This is typically a CSV or DwCA file, or a webservice."
"Institution ID","institution_uid","","institution_uid","Institution","institution_uid","Institution ID","Atlas ID for this institution"
"Institution","institution_name","","institution_name","Institution","institution_name","Institution","The name in use by the institution having custody of the object(s) or information referred to in the record."
"Collection ID","collection_uid","","collection_uid","Collection","collection_uid","Collection ID","Atlas ID for this collection"
"Collection","collection_name","","collection_name","Collection","collection_name","Collection","The name of the collection for this record e.g. Entomology Collection"
"Licence","license","dcterms:license","license","License","license","Licence","The data licence for this record."
"Catalogue Number","catalogue_number","catalogNumber","catalogue_number","Catalogue Number","catalogue_number","Catalogue Number","http://rs.tdwg.org/dwc/terms/catalogNumber"
"Taxon Concept GUID","taxon_concept_lsid","taxonConceptID","taxon_concept_lsid","Taxon Concept GUID","taxon_concept_lsid","Taxon Concept GUID","http://rs.tdwg.org/dwc/terms/taxonConceptID"
"Scientific Name - original","raw_taxon_name","scientificName","raw_taxon_name","Scientific name (unprocessed)","raw_taxon_name","Scientific Name - original","http://rs.tdwg.org/dwc/terms/scientificName"
"Vernacular name - original","raw_common_name","","raw_common_name","Common name (unprocessed)","raw_common_name","Vernacular name - original","The original common name value supplied by the data provider"
"Scientific Name","taxon_name","scientificName","taxon_name","Scientific name","taxon_name","Scientific Name","http://rs.tdwg.org/dwc/terms/scientificName"
"Taxon Rank","rank","taxonRank","rank","Identified to rank","rank","Taxon Rank","http://rs.tdwg.org/dwc/terms/taxonRank"
"Vernacular name","common_name","vernacularName","common_name","Common name (processed)","common_name","Vernacular name","http://rs.tdwg.org/dwc/terms/vernacularName"
"Kingdom","kingdom","kingdom","kingdom","Kingdom","kingdom","Kingdom","The kingdom the Atlas has matched this record to in the system classification http://rs.tdwg.org/dwc/terms/kingdom"
"Phylum","phylum","phylum","phylum","Phylum","phylum","Phylum","The phylum the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/phylum"
